INFO 2025-10-11 15:44:57,823 middleware 8640 30192 IMPORTANT Request: GET /admin-dashboard/users/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:57,833 basehttp 8640 30192 "GET /admin-dashboard/users/ HTTP/1.1" 200 6575
INFO 2025-10-11 15:44:59,644 middleware 8640 30192 IMPORTANT Request: GET /admin/auth/user/6/change/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:59,876 basehttp 8640 30192 "GET /admin/auth/user/6/change/ HTTP/1.1" 200 25419
INFO 2025-10-11 15:44:59,928 basehttp 8640 30192 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-11 15:44:59,932 basehttp 8640 15500 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-11 15:44:59,935 basehttp 8640 30192 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-10-11 15:44:59,940 basehttp 8640 15500 "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-10-11 15:44:59,942 basehttp 8640 30192 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-10-11 15:44:59,945 middleware 8640 30192 IMPORTANT Request: GET /admin/jsi18n/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:59,965 basehttp 8640 15500 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-10-11 15:44:59,971 basehttp 8640 30192 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-11 15:44:59,996 basehttp 8640 30192 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-10-11 15:44:59,999 basehttp 8640 30192 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11973
INFO 2025-10-11 15:45:00,019 basehttp 8640 30192 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-10-11 15:45:00,029 basehttp 8640 15500 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-10-11 15:45:00,043 basehttp 8640 30192 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-10-11 15:45:00,052 basehttp 8640 15500 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-10-11 15:45:00,068 basehttp 8640 30192 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-10-11 15:45:00,080 basehttp 8640 15500 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-10-11 15:45:00,097 basehttp 8640 30192 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-10-11 15:45:00,105 basehttp 8640 15500 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-10-11 15:45:00,118 basehttp 8640 30192 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-10-11 15:45:00,123 basehttp 8640 15500 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-10-11 15:45:00,139 basehttp 8640 15500 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-10-11 15:45:00,161 basehttp 8640 15500 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-10-11 15:45:00,172 basehttp 8640 15500 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-10-11 15:45:00,190 basehttp 8640 15500 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-10-11 15:45:00,207 basehttp 8640 30192 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-10-11 15:45:01,204 basehttp 8640 30192 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-10-11 15:45:01,204 basehttp 8640 29736 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-10-11 15:45:01,204 basehttp 8640 15500 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-10-11 15:45:01,204 basehttp 8640 11452 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-10-11 15:45:19,461 middleware 8640 11452 IMPORTANT Request: GET /admin/auth/user/6/history/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:45:19,485 basehttp 8640 11452 "GET /admin/auth/user/6/history/ HTTP/1.1" 200 8879
INFO 2025-10-11 15:45:21,739 middleware 8640 11452 IMPORTANT Request: GET /admin/auth/user/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:45:21,819 basehttp 8640 11452 "GET /admin/auth/user/ HTTP/1.1" 200 14360
INFO 2025-10-11 15:45:21,861 basehttp 8640 11452 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-10-11 15:45:21,868 middleware 8640 15500 IMPORTANT Request: GET /admin/jsi18n/ from 127.0.0.1 by Anonymous
